,song_name,type,artist,lyrics,id
108,thujhe yad na meri ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai ai),sad,udit narayanarayana a),रब्बा मेरे.. इश्क़ किसी को ऐसे ना तडपाये.. होय.. दिल की बात रहे इस दिल में होठों तक ना आए..ना आए.. तुझे याद न मेरी आई किसी से अब क्या कहना तुझे याद न मेरी आई किसी से अब क्या कहना दिल रोया की अँख भर आई दिल रोया की अँख भर आई किसी से अब क्या कहना  तुझे याद न मेरी आई किसी से अब क्या कहना तुझे याद न मेरी आई किसी से अब क्या कहना  दिल रोया की अँख भर आई दिल रोया की अँख भर आई किसी से अब क्या कहना तुझे याद न मेरी आई किसी से अब क्या कहना तुझे याद न मेरी आई किसी से अब क्या कहना तुझे हर खुशी दे दी लबों की हँसी दे दी  जुल्फों की घटा लहराई पैगाम वफ़ा के लाई  तूने अच्छी प्रीत निभाई तूने अच्छी प्रीत निभाई किसी से अब क्या कहना तुझे याद न मेरी आई किसी से अब क्या कहना तुझे याद न मेरी आई किसी से अब क्या कहना ओ.. माहिया.. ओ.. माहिया.. तुझे याद न मेरी आई किसी से अब क्या कहना तुझे याद न मेरी आई किसी से अब क्या कहना  दिल रोया की अँख भर आई दिल रोया की अँख भर आई किसी से अब क्या कहना तुझे याद न मेरी आई किसी से अब क्या कहना तुझे याद न मेरी आई किसी से अब क्या कहना वो चाँद मेरे घर-आँगन अब तो आएगा तेरे सूने इस आँचल को वो भर जाएगा  वो चाँद मेरे घर-आँगन अब तो आएगा तेरे सूने इस आँचल को वो भर जाएगा  तेरी कर दी गोद भराई किसी से अब क्या कहना..  ख़ता हो गयी मुझसे कहा कुछ नहीं तुमसे  इकरार जो तुम कर पाते तो दूर कभी ना जाते  कोई समझे ना प्रीत पराई किसी से अब क्या कहना..  तुझे याद न मेरी आई किसी से अब क्या कहना तुझे याद न मेरी आई किसी से अब क्या कहना,317
109,thumsa koi parai,romantic,alaka yaganik k k ,"आ आ.. बरसात का मौसम यहाँ हम यहाँ तुम सजनी को मिल गए साजन साजन साजन तुमसा कोई प्यारा कोई मासूम नहीं है क्या चीज़ हो तुम खुद तुम्हें मालूम नहीं है लाखो है मगर तुमसे यहाँ कौन हसीं है तुम जान हो मेरी तुम्हें मालूम नहीं तुमसा कोई प्यारा कोई मासूम नहीं है क्या चीज़ हो तुम खुद तुम्हें मालूम नहीं है लाखो है मगर तुमसे यहाँ कौन हसीं है तुम जान हो मेरी तुम्हें मालूम नहीं तुमसा कोई प्यारा कोई मासूम नहीं है क्या चीज़ हो तुम खुद तुम्हें मालूम नहीं है तुमसा कोई प्यारा कोई मासूम नहीं है क्या चीज़ हो तुम खुद तुम्हें मालूम नहीं है सौ फूल खिले जब ये खिला रूप सुनहरा सौ चाँद बने जब ये बात चाँद सा चेहरा हो.. सौ फूल खिले जब ये खिला रूप सुनहरा सौ चाँद बने जब ये बात चाँद सा चेहरा इतना भी कोई प्यार की राहों में ना घूम हो बस होश है इतना मेरे साथ में तुम हो मेरे साथ में तुम हो, मेरे साथ में तुम हो हम्म.. धड़कन है कहीं दिल है कहीं जान कहीं है तुम जान हो मेरी तुम्हें मालूम नहीं है ये चाँदनी इन आँखों का साया तो नहीं है क्या चीज़ हो खुद तुम्हें मालूम नहीं है तुमसा कोई प्यारा कोई मासूम नहीं है क्या चीज़ हो तुम खुद तुम्हें मालूम नहीं है तुमसा कोई प्यारा कोई मासूम नहीं है क्या चीज़ हो तुम खुद तुम्हें मालूम नहीं है ये होठ ये पलके ये निगाहे ये अदाएं मिल जाए खुदा मुझको तो मैं ले लूं बलाए हो.. ये होठ ये पलके ये निगाहे ये अदाएं मिल जाए खुदा मुझको तो मैं ले लूं बलाए दुनिया का कोई भी ग़म मेरे पास न होगा तुम साथ में चलोगे तो ये एहसास न होगा एहसास न होगा, एहसास न होगा हम्म.. आकाश है पैरों में हमारे के ज़मीन है तुम जान हो मेरी तुम्हें मालूम नहीं ऐसा कोई महबूब ज़माने में नहीं है क्या चीज़ हो तुम खुद तुम्हें मालूम नहीं है लाखो है मगर तुमसे यहाँ कौन हंसी है तुम जान हो मेरी तुम्हें मालूम नहीं तुमसा कोई प्यारा कोई मासुम नहीं है क्या चीज़ हो खुद तुम्हें मालूम नहीं है",334
110,tumhin ho bandhu sakhu sakhhu bandhu sakhandhu sakharamhin,party,kavitha seth,"यारा तेरे सदके इश्क़ सिखा मैं तो आयी जग तज के इश्क़ सिखा मैं तो यारा तेरे सदके इश्क़ सिखा मैं तो आयी जग तज के इश्क़ सिखा जब यार करे परवाह मेरी मुझे क्या परवाह इस दुनिया कि जग मुझपे लगाए पाबंदी मैं हूँ ही नहीं इस दुनिया कि  तुम्हीं दिन चढ़े, तुम्हीं दिन ढले तुम्हीं हो बंधु, सखा तुम्हीं  तुम्हीं दिन चढ़े, तुम्हीं दिन ढले तुम्हीं हो बंधु, सखा तुम्हीं  Every time every minute all the day तुम्हीं हो बंधु, सखा तुम्हीं तुम्हीं दिन चढ़े, तुम्हीं दिन ढले तुम्हीं हो बंधु, सखा तुम्हीं दिल कि तख्ती पर हूँ लिखती इश्क़ा… इश्क़ा जग क्या जाने दिल को मेरे इश्क़ा… किसका  दिल कि तख्ती पर हूँ लिखती इश्क़ा… इश्क़ा जग क्या जाने दिल को मेरे इश्क़ा… किसका  लग यार गले ले सार मेरी मुझे क्या परवाह इस दुनिया कि तू जीत मेरी, जग हार मेरी मैं हूँ ही नहीं इस दुनिया कि  तुम्हीं दिन चढ़े, तुम्हीं दिन ढले तुम्हीं हो बंधु, सखा तुम्हीं  तुम्हीं दिन चढ़े, तुम्हीं दिन ढले तुम्हीं हो बंधु, सखा तुम्हीं  Every time every minute all the day तुम्हीं हो बंधु, सखा तुम्हीं तुम्हीं दिन चढ़े, तुम्हीं दिन ढले तुम्हीं हो बंधु, सखा तुम्हीं बन के चाहत नज़रों से ख़त लिखना लिखना तू है जैसा मुझको वैसा दिखना दिखना  बे सबक़ सुरोरों का साक़ी मुझे क्या परवाह इस दुनिया कि तू पास मेरे जग पास मेरे मैं हूँ ही नहीं इस दुनिया कि  तुम्हीं दिन चढ़े, तुम्हीं दिन ढले तुम्हीं हो बंधु, सखा तुम्हीं  तुम्हीं दिन चढ़े, तुम्हीं दिन ढले तुम्हीं हो बंधु, सखा तुम्हीं  Every time every minute all the day तुम्हीं हो बंधु, सखा तुम्हीं तुम्हीं दिन चढ़े, तुम्हीं दिन ढले तुम्हीं हो बंधु, सखा तुम्हीं",339
111,t jununiyat,sad,sreya singhal,"मेरे दिल के ये टुकड़े हैं निगाहों से चुनुं यारा  मोहब्बत की कहानी है  मोहब्बत से सुनो यारा   मैं आया हूँ तेरे दर पे  तो अब जाना नहीं होगा  जियूँगा या मरूँगा मैं  जो होना है यहीं होगा  कहता हूँ मैं बेसाकता सा  सुन ले ये मेरा ख़ुदा     तेरा इश्क है मेरी सल्तनत  तू ज़िद्द मेरी, तू जुनूनियत  मैं हूँ दिल जला, मुझे तेरी लत  तू ज़िद्द मेरी, तू जुनूनियत वो..  किताबों में पढ़ा था ये  ख़ुदा को प्यार है प्यारा  किया जो प्यार हमने तो  हुआ दुश्मन जहाँ सारा   ठुकरा दिया मैंने ये जहाँ  ले आज तुझको चुना   तेरा इश्क है मेरी सल्तनत  तू ज़िद्द मेरी, तू जुनूनियत  मैं हूँ दिल जला, मुझे तेरी लत  तू ज़िद्द मेरी, तू जुनूनियत वो..  बड़ी ख़ुश रंग थी वो शामें  बड़ा रोशन सवेरा था  वो क्या खोया जिसे चाहा  वो क्यूँ बिछड़ा जो मेरा था  जिन आँखों में मैं रहता था  उन आँखों में है पानी क्यूँ  नहीं बदला कहीं कुछ भी  मैं तेरा था, मैं तेरा हूँ   उड़ के ज़रा तू देख ले  इतनी सी है इल्तेजा  तेरा इश्क है मेरी सल्तनत  तू ज़िद्द मेरी, तू जुनूनियत  मैं हूँ दिल जला, मुझे तेरी लत  तू ज़िद्द मेरी, तू जुनूनियत वो..",347
112,t jo milly,romantic,yasir dessai ,मैं गरमियों का दिन कोई तेरे लिए हर पल जलूँ तू सर्दियों की शाम है पाऊँ तुझे तो मैं ढलूँ हूँ ज़ख़्म ज़ख़्म मैं पर मरहमों सी तू दे दे मुझे तू सुकून  तू जो मिली सहारा सा मुझको मिला डूबा था मैं किनारा सा मुझको मिला तू जो मिली सहारा सा मुझको मिला डूबा था मैं किनारा सा मुझको मिला मुझको मिला मुझको मिला     बिन तेरे मैं ज़िंदगी के आइने में कितना था अधूरा खुदको तुझसे जोड़ के जो मैंने देखा तो लगा हूँ पूरा  हम्म मैं था जो भी ना था वो भी अब हूँ जो भी शुक्रिया है तेरा  पत्थरों में ये खुदा सा ढूँढने का नज़रिया है तेरा  ना शक्स में ना शख़्सियत बरसों से हूँ बेनाम सा बंजारों सा फिरता हूँ मैं हिंदी ट्रैक्स डॉट इन बन जा ना तू घर का पता  हूँ दर्द दर्द मैं और है दावा सी तू दे दे मुझे तू सुकून  तू जो मिली सहारा सा मुझको मिला डूबा था मैं किनारा सा मुझको मिला तू जो मिली सहारा सा मुझको मिला डूबा था मैं किनारा सा मुझको मिला मुझको मिला मुझको मिला..,350
113,t na aya,sad,shyamoli sanghi,ये पल गुज़र गया तेरे बिना इक और दिन ढला तेरे बिना आगे निकल गया रास्ता मेरा जब दिल ठहर गया तेरे बिना अब होता है सवेरा शाम से भी सांवला तुझे यादों के अलावा कुछ भी तो ना मिला  तेरे साथ ही नींदें भी चली गयी मुझसे मिलने फिर कभी तू ना आया खाली हाथ ही बरसातें चली गयी कितनी बातें हो गयी तू ना आया.. तू ना आया.. तू ना आया.. पर तेरी खबर ना आई शाम के परिंदे लौट आये मगर मेरे आँगन में आई तन्हाई साथ चलना था जी भर तू छोड़ आया उधार  अब तो किस्सा हो गया है मिलना तेरा मेरा क्या जीने का मतलब ही सांस लेना रह गया  तेरे साथ ही नींदें भी चली गयी मुझसे मिलने फिर कभी तू ना आया खाली हाथ ही बरसातें चली गयी कितनी बातें हो गयी तू ना आया.. तू ना आया.. तू ना आया.. तू ना आया..  जब तू पास था मेरे पास था ये जहाँ तेरे बिन जो है मेरा मेरे किस काम का कैसे भूल मैं गयी साथ तू भी था मेरे क्यूँ मैंने ही ले लिए दो दिलों का फैसला..  तू ना आया..,351
114,t par ka sagra hai,sad,manna d,तू प्यार का सागर है तू प्यार का सागर है तेरी इक बूँद के प्यासे हम तेरी इक बूँद के प्यासे हम लौटा जो दिया तुमने चले जायेंगे जहां से हम चले जायेंगे जहां से हम  तू प्यार का सागर है तू प्यार का सागर है तेरी इक बूँद के प्यासे हम तेरी इक बूँद के प्यासे हम तू प्यार का सागर है  घायल मन का पागल पंछी उड़ने को बेक़रार उड़ने को बेक़रार पंख हैं कोमल आँख हैं धुँधली जाना है सागर पार जाना है सागर पार अब तू ही इसे समझा अब तू ही इसे समझा राह भूले थे कहाँ से हम राह भूले थे कहाँ से हम  तू प्यार का सागर है तेरी इक बूँद के प्यासे हम तेरी इक बूँद के प्यासे हम तू प्यार का सागर है  इधर झूम के गाये ज़िंदगी उधर है मौत खड़ी उधर है मौत खड़ी कोई क्या जाने कहाँ है सीमा उलझन आन पड़ी उलझन आन पड़ी  कानों में ज़रा कह दे कानों में ज़रा कह दे कि आएँ कौन दिशा से हम कि आएँ कौन दिशा से हम तू प्यार का सागर है तेरी इक बूँद के प्यासे हम तेरी इक बूँद के प्यासे हम तू प्यार का सागर है तू प्यार का सागर है..,352
115,t par har har kisi a,sad,kumar sanu,"ला ला ला ला ला.. हम्म..  हो.. ला ला ला ला ला.. हम्म.. तू प्यार है किसी और का  तुझे चाहता कोई और है  तू प्यार है किसी और का  तुझे चाहता कोई और है तू पसन्द है किसी और की  तू पसन्द है किसी और की  तुझे मांगता कोई और है तू प्यार है किसी और का  तुझे चाहता कोई और है  कौन अपना है, क्या बेगाना है क्या हक़ीक़त है, क्या फ़साना है  कौन अपना है, क्या बेगाना है क्या हक़ीक़त है, क्या फ़साना है  ये ज़माने में किसने जाना है ये ज़माने में किसने जाना है  तू नज़र में है किसी और की  तुझे देखता कोई और है तू नज़र में है किसी और की  तुझे देखता कोई और है  तू पसन्द है किसी और की  तुझे मांगता कोई और है तू प्यार है किसी और का  तुझे चाहता कोई और है  प्यार में अक्सर ऐसा होता है कोई हँसता है, कोई रोता है प्यार में अक्सर ऐसा होता है कोई हँसता है, कोई रोता है कोई पाता है, कोई खोता है कोई पाता है, कोई खोता है  तू जान है किसी और की  तुझे जानता कोई और है  तू जान है किसी और की  तुझे जानता कोई और है  तू पसन्द है किसी और की  तुझे मांगता कोई और है तू प्यार है किसी और का  तुझे चाहता कोई और है  हम्म आ आ आ..  हम्म.. आ आ आ ला ला.. आ.. सोचती हूँ मैं, चुप रहूँ कैसे दर्द दिल का ये मैं सहूँ कैसे सोचती हूँ मैं, चुप रहूँ कैसे दर्द दिल का ये मैं सहूँ कैसे कशमकश में हूँ, ये कहूँ कैसे कशमकश में हूँ, ये कहूँ कैसे  मेरा हमसफ़र बस एक तू  नहीं दूसरा कोई और है  मेरा हमसफ़र बस एक तू  नहीं दूसरा कोई और है  तू पसन्द है किसी और की  तुझे मांगता कोई और है तू प्यार है किसी और का  तुझे चाहता कोई और है ल ल ला ला ला ला..",353
116,t yada aya,sad,adanan samy,हुई मोहब्बत की बात फिर सता रही है ये रात फिर भीगा रही हैं इन आँखों को बेवक़्त की है बरसात फिर आ गया क्यूँ लबों पे ये नाम तेरा बता तू याद आया तू याद आया तू याद आया है आज फिर जो तेरी बातों ने दिल दुखाया तू याद आया है आज फिर कभी ये सांसें थी बस तुम्हारी जो अब है जाया फजूल है थे ख्वाब जिन आँखों में वो पाके वहाँ जुदाई की धुल है गुजर गया तू मैं ही वहाँ हूँ जहाँ तू आया न लौट कर ना फिर किसी से ये दिल लगाया तू याद आया है आज फिर हे.. तू याद आया तू याद आया तू याद आया है आज फिर जो तेरी बातों ने दिल दुखाया तू याद आया है आज फिर मुझे हवाएं सुना रही हैं जो बातें हम तुम भुला गए ये आते जाते मुझे भीगाते हिन्दी ट्रैक्स डॉट इन क्यूँ आज मौसम रुला गए उसे तलासुं जो खो गया है कहाँ मिलेगा वो हमसफ़र जिसे था मैं कभी भुलाया तू याद आया है आज फिर हे.. तू याद आया तू याद आया तू याद आया है आज फिर जो तेरी बातों ने दिल दुखाया तू याद आया है आज फिर हो मेरी जान याद आया तू याद आया,357
117,t h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h m t tu t tu t tu t tu t r p rajane ,sad,sonoo neegam  kakrakar,समंदर से ज्यादा मेरी आँखों में आंसू जाने ये ख़ुदा भी है ऐसा क्यूँ समंदर से ज्यादा मेरी आँखों में आंसू जाने ये ख़ुदा भी है ऐसा क्यूँ  तुझको ही आये ना ख्याल मेरा पत्ता पत्ता जनता है एक तू ही ना जाने हाल मेरा पत्ता पत्ता जनता है एक तू ही ना जाने हाल मेरा  नित दिन नित दिन रोइयाँ मैं सोंह रब दी ना सोइयाँ मैं एक तेरे पीछे माही सावन दियां रुतां खोइयाँ मैं  नित दिन नित दिन रोइयाँ मैं सोंह रब दी ना सोइयाँ मैं एक तेरे पीछे माही सावन दियां रुतां खोइयाँ मैं  दिल ने धडकनों को ही तोड़ दिया टूटा हुआ सीने में छोड़ दिया हो दिल ने धडकनों को ही तोड़ दिया टूटा हुआ सीने में छोड़ दिया  खुशियाँ ले गया दर्द कितने दे गया ये प्यार तेरा  पत्ता पत्ता जनता है एक तू ही ना जाने हाल मेरा पत्ता पत्ता जनता है एक तू ही ना जाने हाल मेरा  मेरे हिस्से आई तेरी परछाईयां लिखी थी लकीरों में तनहाइयाँ हाँ मेरे हिस्से आई तेरी परछाईयां लिखी थी लकीरों में तनहाइयाँ  हाँ करूँ तुझे याद मैं है तेरे बाद इंतज़ार तेरा  पत्ता पत्ता जनता है एक तू ही ना जाने हाल मेरा पत्ता पत्ता जनता है एक तू ही ना जाने हाल मेरा हाल मेरा..,361
118,t hiar mera,romantic,arijit singh,अँखियाँ मेरी पूछ रही हैं दिल को मेरा चैन नहीं हाँ किथे लड़ाइयाँ वे तू अखियाँ किथे लड़ाइयाँ वे  कैसे मैं तुझको बताऊँ राहें तेरी तकती जाऊं नीदों चुराइयां वे तू मेरियां निदां चुराइयां वे  धड़कन ये कहती है दिल तेरे बिन धडके ना एक तू ही यार मेरा मुझको क्या दुनिया से लेना  धड़कन ये कहती है दिल तेरे बिन धडके ना एक तू ही यार मेरा मुझको क्या दुनिया से लेना  तुझमें रात मेरी तुझमें दिन मेरे लम्हां इक जियूँ ना मैं तो बिन तेरे  है तेरे साथ सफ़र जाना है मुझे किधर के बीत जाए तुझमें ये उम्र एक पल की भी अब तो दूरी ना मुझको देना  एक तू ही यार मेरा मुझको क्या दुनिया से लेना  हिस्सा है तू अब तो मेरे दिल के जज्बातों का तू लफ्ज़ है ठहरा हुआ बस मेरी बातों का आँखें ये कहती है तू सामने मेरे रहना एक तू ही यार मेरा मुझको क्या दुनिया से लेना  एक तू ही यार मेरा मुझको क्या दुनियां से लेना ,362
119,tera banounga,romantic,akhil sachdeva,​मेरी राहें तेरे तक हैं तुझपे ही तो मेरा हक़ है इश्क़ मेरा तू बेशक़ है तुझपे ही तो मेरा हक़ है साथ छोड़ूँगा ना तेरे पीछे आऊँगा छीन लूँगा या खुदा से माँग लाउँगा तेरे नाल तक़दीरां लिखवाउंगा  तेरा बन जाऊँगामैं तेरा बन जाऊँगा सोंह तेरी मैं क़सम यही खाऊँगा कित्ते वादेया नू मैं निभाऊँगा तुझे हर वारी अपना बनाऊँगा मैं तेरा बन जाऊँगा मैं तेरा बन जाऊँगा ना ना ना.. ओ..लखाँ तों जुदा मैं हुई तेरे ख़ातिर तू ही मंज़िल दिल तेरा मुसाफ़िर लखाँ तों जुदा मैं हुई तेरे ख़ातिर तू ही मंज़िल मैं तेरा मुसाफ़िर रब नू भुला बेठा तेरे करके मैं हो गया काफ़िर तेरे लिए मैं जहाँ से टकराऊँगा सब कुछ खोके तुझको ही पाउँगादिल बन के दिल धडकाऊँगा मैं तेरा बन जाऊँगामैं तेरा बन जाऊँगासोंह तेरी मैं क़सम यही खाऊँगाकित्ते वादेया नू मैं निभाऊँगा तुझे हर वारी अपना बनाऊँगा मैं तेरा बन जाऊँगा मैं तेरा बन जाऊँगा मेरी राहें तेरे तक हैं तुझपे ही तो मेरा हक़ है इश्क़ मेरा तू बेशक़ है तुझपे ही तो मेरा हक़ है,371
120,teri phariyad,sad,jagajeet singha,अब कोई आस न उम्मीद बची हो जैसे अब कोई आस न उम्मीद बची हो जैसे तेरी फरियाद मगर मुझमे दबी हो जैसे  जागते जागते इक उम्र कटी हो जैसे जागते जागते इक उम्र कटी हो जैसे  अब कोई आस न उम्मीद बची हो जैसे  “लाइफ में जो हम चाहते हैं और जो हम चुनते हैं उसके बीच में हमारी कमजोरी छुपी होती है और कभी-कभी ताकत”  कैसे बिछड़ो के वोह मुझमे कहीं रहता है  उस से जब बचके गुज़रता हूँ तोह ये लगता है  वोह नज़र चुप के मुझे देख रही हो जैसे हम्म हम्म..,380
121,tere jaisa,romantic,tulsi kumar,तेरे जैसा मुझको बना दे मेरा ना दूजा कोई संत और पीर हुवे सब रब के संत और पीर हुवे सब रब के मैं तो तेरी होई तेरे जैसा मुझको बना दे मेरा ना दूजा कोई..  मुझे बस यार यार इक बार-बार रब तू है तो दिला दे सब वार वार हर बार बार मेरे यार यार से मिला दे   मुझे बस यार यार इक बार-बार रब तू है तो दिला दे सब वार वार हर बार बार मेरे यार यार से मिला दे  मैं जहां जहां गया वहाँ बसर फ़िज़ूल था बस एक तेरी उन्ही निगाहों को हमेशा ढूंढता मेरे रात की सुबह मेरे दर्द की दवा ना ज़मीन ना आसमां हो हमारे दरमियां  तेरे जैसा मुझको बना दे मेरा ना दूजा कोई  मुझे बस यार यार इक बार-बार रब तू है तो दिला दे सब वार वार हर बार बार मेरे यार यार से मिला दे,383
122,tere bindagdi s,sad,kishor kumar,"तेरे बिना ज़िन्दगी से कोई शिकवा तो नहीं, शिकवा नहीं शिकवा नहीं, शिकवा नहीं तेरे बिना ज़िन्दगी भी लेकिन ज़िन्दगी तो नहीं, ज़िन्दगी नहीं ज़िन्दगी नहीं, ज़िन्दगी नहीं तेरे बिना ज़िन्दगी से कोई शिकवा तो नहीं..  काश ऐसा हो तेरे क़दमों से चुन के मंज़िल चलें और कहीं दूर कह काश ऐसा हो तेरे क़दमों से चुन के मंज़िल चलें और कहीं दूर कह  तुम गर साथ हो मंज़िलों की कमी तो नहीं  तेरे बिना ज़िन्दगी से कोई शिकवा तो नहीं, शिकवा नहीं, शिकवा नहीं, शिकवा नहीं  जी में आता है तेरे दामन में सर छुपा के हम रोते रहें, रोते रहें जी में आता है तेरे दामन में सर छुपा के हम रोते रहें, रोते रहें तेरी भी आँखों में आँसुओं की नमी तो नहीं  तेरे बिना ज़िन्दगी से कोई शिकवा तो नहीं, शिकवा नहीं शिकवा नहीं, शिकवा नहीं तेरे बिना ज़िन्दगी भी लेकिन ज़िन्दगी तो नहीं, ज़िन्दगी नहीं, ज़िन्दगी नहीं, ज़िन्दगी नहीं  तुम जो कह दो तो आज की रात चाँद डूबेगा नहीं रात को रोक ल तुम जो कह दो तो आज की रात चाँद डूबेगा नहीं रात को रोक ल रात की बात है और ज़िन्दगी बाकी तो नहीं  तेरे बिना ज़िन्दगी से कोई शिकवा तो नहीं, शिकवा नहीं शिकवा नहीं, शिकवा नहीं तेरे बिना ज़िन्दगी भी लेकिन ज़िन्दगी तो नहीं, ज़िन्दगी नहीं ज़िन्दगी नहीं, ज़िन्दगी नहीं  तेरे बिना ज़िन्दगी से कोई शिकवा तो नहीं  ",388
123,darkhast,romantic,arijit singh  shohan shuhaned shohan shohan shuhaneedhe shohan shuhaneedhi shahan shuhaneed,"इस क़दर तू मुझे प्यार कर जिसे कभी ना मैं सकूं फिर भुला.. ज़िन्दगी लायी हमें यहाँ कोई इरादा तो रहा होगा भला   की दरखास्त है ये जो आई रात है ये तू मेरी बाहों में दुनिया भुला दे जो अब लम्हात है ये बड़े ही ख़ास है ये तू मेरी बाहों में दुनिया भुला दे  राहों में मेरे साथ चल तू तामे मेरा हाथ चल तू वक़्त जितना भी हो हासिल सारा मेरे नाम कर तू वक़्त जितना भी हो हासिल सारा मेरे नाम कर तू  की अरमां है ये गुजारिश जान है ये तू मेरी बाहों में दुनिया भुला दे  जो अब लम्हात है ये जो अब लम्हात है ये बड़े ही ख़ास हैं ये बड़े ही ख़ास हैं ये तू मेरी बाहों में दुनिया भुला दे  लम्ज़ जिस्मों पे ऐसे सजाये बारिशों से भी वो धुल ना पाए तू मेरी बाहों में दुनिया भुला दे  हो नक्श लम्हों पे ऐसे बनाये मुद्दतों से भी वो मिट ना पाए तू मेरी बाहों में दुनिया भुला दे  हम्म.. तुझसे तो हूँ मैं यूँ बोहत मुतासिर पर क्या करूं मैं हूँ एक मुसाफिर कैसी ख़ुशी है जिसमे नमी है जाने तू ये या जाने ना ओ..  जो जज़्बात है ये जो जज़्बात है ये बड़े ही पाक हैं ये बड़े ही पाक हैं ये तू मेरी बाहों में दुनिया भुला दे  जो अब लम्हात है ये जो अब लम्हात है ये बड़े ही पाक हैं ये बड़े ही पाक हैं ये तू मेरी बाँहों में दुनिया भुला दे  तू मेरी बाहों में दुनिया भुला दे भुला दे, भुला दे वो.. तू मेरी बाहों में दुनिया भुला दे भुला दे, भुला दे, भुला दे  की दरखास्त है ये जो आई रात है ये तू मेरी बाहों में दुनिया भुला दे",401
